Date,Open,High,Low,Close,Adj Close,Volume
2013-05-01,48.759998,55.900002,46.980000,54.590000,42.281998,549824600
2013-06-01,54.599998,55.389999,50.110001,52.790001,40.887836,440217000
2013-07-01,53.220001,56.930000,52.119999,55.730000,43.164986,414604000
2013-08-01,56.360001,56.779999,50.130001,50.529999,39.422779,343831300
2013-09-01,51.250000,53.930000,50.060001,51.689999,40.327801,434870300
2013-10-01,51.639999,54.849998,50.250000,51.540001,40.210762,482265300
2013-11-01,51.450001,58.139999,51.299999,57.220001,44.971107,365912800
2013-12-01,57.099998,58.549999,55.400002,58.480000,45.961388,330218200
2014-01-01,58.310001,59.820000,54.689999,55.360001,43.509277,425415900
2014-02-01,55.500000,58.650002,54.200001,56.820000,44.948814,345203100
2014-03-01,56.299999,61.480000,55.689999,60.709999,48.026085,425852600
2014-04-01,60.950001,61.290001,54.349998,55.980000,44.284302,408990800
2014-05-01,55.919998,56.369999,52.970001,55.570000,44.237049,315091600
2014-06-01,55.650002,58.220001,55.020000,57.619999,45.868950,263682000
2014-07-01,57.150002,59.349998,54.959999,57.669998,45.908772,317245600
2014-08-01,57.389999,59.950001,55.599998,59.450001,47.656578,241542700
2014-09-01,59.459999,61.849998,58.779999,60.240002,48.289871,264895100
2014-10-01,60.240002,60.799999,54.259998,60.480000,48.482262,415450800
2014-11-01,60.790001,61.930000,59.419998,60.160000,48.550659,211518300
2014-12-01,59.980000,63.490002,58.110001,62.580002,50.503662,347616300
2015-01-01,62.180000,62.959999,54.369999,54.380001,43.886059,468205900
2015-02-01,54.529999,61.919998,54.270000,61.279999,49.772667,319008100
2015-03-01,61.279999,62.869999,58.869999,60.580002,49.204121,332553100
2015-04-01,60.410000,64.480003,59.650002,63.259998,51.380848,325069500
2015-05-01,63.700001,67.190002,63.250000,65.779999,53.782764,267792200
2015-06-01,65.989998,69.820000,65.580002,67.760002,55.401634,337237800
2015-07-01,68.120003,70.610001,65.209999,68.529999,56.031208,325426300
2015-08-01,68.589996,69.419998,50.070000,64.099998,52.751720,373209100
2015-09-01,62.849998,64.639999,58.730000,60.970001,50.175846,354030500
2015-10-01,61.119999,65.830002,58.529999,64.250000,52.875145,332436100
2015-11-01,64.449997,69.029999,64.389999,66.680000,55.270893,248028500
2015-12-01,67.339996,68.000000,63.509998,66.029999,54.732105,316546000
2016-01-01,63.950001,64.129997,54.660000,59.500000,49.319412,470257300
2016-02-01,59.160000,59.650002,52.500000,56.299999,46.979992,477952300
2016-03-01,56.759998,60.970001,56.669998,59.220001,49.416615,356907400
2016-04-01,59.020000,64.660004,57.070000,63.200001,52.737747,344767700
2016-05-01,63.689999,66.199997,60.590000,65.269997,54.868324,283915300
2016-06-01,64.760002,65.919998,57.049999,62.139999,52.237137,394697700
2016-07-01,61.660000,64.980003,58.759998,63.970001,53.775490,283878900
2016-08-01,64.150002,67.769997,63.380001,67.500000,57.184662,263306200
2016-09-01,67.639999,67.900002,65.110001,66.589996,56.413715,316507200
2016-10-01,66.349998,69.769997,66.099998,69.260002,58.675716,304123000
2016-11-01,69.480003,80.529999,67.639999,80.169998,68.412163,458561900
2016-12-01,80.650002,87.389999,80.650002,86.290001,73.634605,343139500
2017-01-01,87.339996,88.169998,83.029999,84.629997,72.218063,343161300
2017-02-01,85.540001,91.339996,84.160004,90.620003,77.757423,271414600
2017-03-01,92.790001,93.980003,85.230003,87.839996,75.372009,371669000
2017-04-01,87.989998,89.129997,84.360001,87.000000,74.651245,321139800
2017-05-01,87.360001,88.089996,81.639999,82.150002,70.894676,283639500
2017-06-01,82.459999,92.650002,81.650002,91.400002,78.877335,334136800
2017-07-01,91.559998,94.510002,90.320000,91.800003,79.222542,271473000
2017-08-01,92.489998,95.220001,90.160004,90.889999,78.868652,253237800
2017-09-01,91.250000,95.879997,88.080002,95.510002,82.877609,250922800
2017-10-01,95.769997,102.419998,94.959999,100.610001,87.303062,259433200
2017-11-01,101.099998,106.660004,95.949997,104.519997,91.226089,256086400
2017-12-01,104.900002,108.459999,102.199997,106.940002,93.338287,284432100
2018-01-01,107.629997,117.349998,106.809998,115.669998,100.957932,304940100
2018-02-01,115.769997,119.330002,103.980003,115.500000,101.334679,354632300
2018-03-01,115.480003,118.750000,106.650002,109.970001,96.482918,321513800
2018-04-01,109.959999,115.150002,106.080002,108.779999,95.438835,340100300
2018-05-01,108.449997,114.730003,104.959999,107.010002,94.362038,273649200
2018-06-01,108.339996,111.910004,103.110001,104.199997,91.884163,307772000
2018-07-01,103.720001,117.610001,102.199997,114.949997,101.363564,298256100
2018-08-01,115.750000,118.290001,112.970001,114.580002,101.586357,234427900
2018-09-01,114.339996,119.239998,112.519997,112.839996,100.043671,232549000
2018-10-01,113.370003,116.809998,102.730003,109.019997,96.656891,433042000
2018-11-01,109.620003,112.930000,105.980003,111.190002,99.271141,283227700
2018-12-01,112.379997,112.889999,91.110001,97.620003,87.155746,425217000
2019-01-01,95.949997,105.239998,95.940002,103.500000,92.405464,325890900
2019-02-01,104.000000,107.269997,100.059998,104.360001,93.929924,224935100
2019-03-01,105.099998,108.400002,98.089996,101.230003,91.112762,306599600
2019-04-01,102.150002,117.160004,102.120003,116.050003,104.451599,252516300
